746,1454884,Cedric Nicolas-Troyan
747,55252,Tim Miller
748,592493,David Lowery
749,1096867,Thea Sharrock
750,52935-1236679,"John Francis Daley, Jonathan M. Goldstein"
751,1401541-1401542,"Travis Cluff, Chris Lofing"
752,111588,J Blakeson
753,1101410,Dave Green
754,607,Zhang Yimou
755,1056121,Ryan Coogler
756,17867,Tom McCarthy
757,1061773,Jake Szymanski
758,6495,Mira Nair
759,974,Dexter Fletcher
760,1192754,Peter Landesman
761,124748,Chris Renaud
762,137427,Denis Villeneuve
763,8010-52934,"Doug Sweetland, Nicholas Stoller"
764,568322,Dan Trachtenberg
765,109692,David E. Talbert
766,120615,Tom Ford
767,136153,Peter Atencio
768,17871,John Hamburg
769,1042010,Nitesh Tiwari
770,190090,Luke Scott
771,60922-60923,"Josh Gordon, Will Speck"
772,5292,Denzel Washington
